Date,Year,month,Reservoir A,Storage Change,Storage Gain,Moving Max from Start Date,Initial Collection to Storage,Forward 30-day Moving Minimum,Positive Delta S,Refill Collection,Total Collection to Storage,Regulatory Collection to Storage,Storage Loss,Cumulative Initial Collection Between Reg Collections,Remaining Cumulative Reg Collection,WD,WD from Storage,Regulatory WD
2017-12-31,2017,12,192770,,0.0,192770,,180590.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01,2018,1,193200,430.0,430.0,193200,430.0,180590.0,0.0,0.0,430.0,0.0,0.0,430.0,0.0,0.0,0.0,0.0
2018-01-02,2018,1,193720,520.0,520.0,193720,520.0,180590.0,0.0,0.0,520.0,0.0,0.0,950.0,0.0,0.0,0.0,0.0
2018-01-03,2018,1,194090,370.0,370.0,194090,370.0,180590.0,0.0,0.0,370.0,0.0,0.0,1320.0,0.0,0.0,0.0,0.0
2018-01-04,2018,1,194780,690.0,690.0,194780,690.0,180590.0,0.0,0.0,690.0,0.0,0.0,2010.0,0.0,0.0,0.0,0.0
2018-01-05,2018,1,195360,580.0,580.0,195360,580.0,180590.0,0.0,0.0,580.0,0.0,0.0,2590.0,0.0,0.0,0.0,0.0
2018-01-06,2018,1,196210,850.0,850.0,196210,850.0,180590.0,0.0,0.0,850.0,0.0,0.0,3440.0,0.0,0.0,0.0,0.0
2018-01-07,2018,1,197470,1260.0,1260.0,197470,1260.0,180590.0,0.0,0.0,1260.0,0.0,0.0,4700.0,0.0,0.0,0.0,0.0
2018-01-08,2018,1,197280,-190.0,0.0,197470,0.0,180590.0,0.0,0.0,0.0,0.0,-190.0,4700.0,0.0,-190.0,-190.0,0.0
2018-01-09,2018,1,197580,300.0,300.0,197580,110.0,180590.0,0.0,0.0,110.0,190.0,0.0,4620.0,190.0,0.0,0.0,0.0
2018-01-10,2018,1,196450,-1130.0,0.0,197580,0.0,180590.0,0.0,0.0,0.0,0.0,-1130.0,4620.0,190.0,-940.0,-1130.0,0.0
2018-01-11,2018,1,195320,-1130.0,0.0,197580,0.0,180590.0,0.0,0.0,0.0,0.0,-1130.0,3490.0,190.0,-940.0,-1130.0,0.0
2018-01-12,2018,1,194130,-1190.0,0.0,197580,0.0,180590.0,0.0,0.0,0.0,0.0,-1190.0,2360.0,190.0,-1000.0,-1190.0,0.0
